company,sector,year,revenue_musd,gross_profit_musd,operating_income_musd,net_income_musd,ebitda_musd,cash_musd,current_assets_musd,current_liabilities_musd,total_assets_musd,total_liabilities_musd,equity_musd,total_debt_musd,interest_expense_musd,shares_outstanding_m,stock_price_usd,annual_dividend_per_share_usd,operating_cash_flow_musd,capex_musd
Apple,Banking,2014,294062.0,144016.31,74317.88,87692.79,89948.72,96737.4,189972.59,41623.73,630110.56,216369.45,413741.11,155840.06,6292.13,7733,23.74,4.9,83040.15,30031.99
Apple,Banking,2015,352543.09,172657.31,86210.07,91737.94,106716.76,89733.75,249407.41,50980.98,738779.82,249285.26,489494.56,128668.85,5794.92,7733,25.37,0,73296.15,26821.11
Apple,Banking,2016,418396.74,204909.01,96855.52,91650.61,120899.38,82897.1,413517.28,101405.46,1017949.56,384006.87,633942.68,204276.57,11818.75,7733,22.31,0,74612.73,39605.33
Apple,Banking,2017,488726.17,239352.71,129728.67,99972.35,157595.16,146558.92,422968.55,103356.01,1115670.11,414457.14,701212.98,126309.08,7327.52,7733,29.77,0,168444.73,32854.18
Apple,Banking,2018,560591.22,274548.48,141568.67,163907.99,207652.44,64640.0,288915.8,94299.28,1219777.25,426568.48,793208.76,274061.37,18024.34,7733,17.07,0,225289.77,51433.45
Apple,Banking,2019,632249.87,309643.17,160735.59,149871.36,190817.92,113109.62,358616.97,156594.73,1335055.4,529804.85,805250.55,361950.92,21477.08,7733,16.57,0,127577.44,73485.23
Apple,Banking,2020,704500.82,345027.94,178549.31,191648.02,230720.9,136852.93,505078.33,77702.82,1345467.63,476332.61,869135.02,141702.06,5587.59,7733,59.44,0,221992.66,44709.94
Apple,Banking,2021,781757.53,382864.26,179751.91,206169.61,211952.38,125947.44,354297.78,144696.15,1521461.13,569559.77,951901.37,230394.18,3270.44,7733,39.32,0,171761.45,77341.14
Apple,Banking,2022,872444.88,427278.22,221706.92,235420.65,288200.26,369784.67,731465.56,174756.1,1987515.34,838129.98,1149385.37,592550.55,33518.71,7733,15.5,1.3,202714.88,111777.48
Apple,Banking,2023,988382.53,484058.46,247413.79,227656.22,336959.68,167094.44,433959.65,196588.78,1999723.92,689145.1,1310578.82,200694.88,13245.9,7733,57.03,2.85,324468.89,29564.6
Apple,Banking,2024,1143019.42,559791.59,282871.94,243967.27,340023.97,377928.2,855213.08,360500.77,2659397.78,1089529.46,1569868.32,298062.35,9306.4,7733,122.81,5.41,340150.63,26860.27
Apple,Banking,2025,1348693.34,660520.0,357574.78,368611.07,436116.77,385641.0,1282222.81,259875.32,3315878.19,1230616.03,2085262.17,510478.07,30269.61,7733,19.51,0,478771.82,28178.65
Microsoft,Automotive,2014,348144.0,87253.74,6962.88,16709.18,39834.28,97991.01,274914.66,80208.0,798386.24,262686.19,535700.05,87971.16,5455.81,1852,209.31,0,34970.57,19507.76
Microsoft,Automotive,2015,384296.3,96314.43,7685.93,13888.84,34440.39,62640.38,255549.32,93033.77,896450.51,325205.48,571245.03,165132.91,4516.02,1852,186.18,0,27557.43,47294.55
Microsoft,Automotive,2016,419929.39,105244.99,9921.33,16762.81,35252.85,48234.45,280309.73,120154.84,942926.26,350041.46,592884.8,166397.26,10536.02,1852,173.74,0,41037.17,31572.57
Microsoft,Automotive,2017,451634.96,113191.21,15632.08,21474.91,65180.32,81130.29,308500.33,61080.91,882969.16,319228.54,563740.62,221685.01,11987.79,1852,361.58,3.12,56218.79,7791.02
Microsoft,Automotive,2018,476982.26,119543.89,17884.22,23841.61,46641.61,75743.94,191506.29,88005.7,1004193.17,380686.51,623506.65,176578.25,5549.4,1852,410.7,0,49565.74,31218.42
Microsoft,Automotive,2019,495311.8,124137.73,12775.78,22402.91,44238.34,100577.96,425112.15,85080.18,1170532.11,418136.83,752395.28,132956.03,2185.49,1852,330.7,0,31737.17,22468.77
Microsoft,Automotive,2020,508165.78,127359.27,10163.32,19479.04,45346.5,46030.12,374036.87,85996.21,1013600.86,371581.49,642019.37,152042.38,9565.29,1852,121.88,0,27435.74,39013.82
Microsoft,Automotive,2021,519194.36,130123.31,10383.89,22758.67,51725.27,138135.65,379967.93,101099.23,1138227.17,404205.2,734021.97,218619.55,8822.87,1852,687.38,0,49830.61,62967.97
Microsoft,Automotive,2022,533494.42,133707.27,10735.07,26394.69,32913.39,125045.97,453595.88,80712.11,1108430.51,325813.53,782616.99,219543.36,7740.88,1852,246.49,0,40397.56,35229.47
Microsoft,Automotive,2023,556481.74,139468.48,11129.63,26383.96,34141.63,48241.62,222636.19,94356.5,1055712.79,364522.57,691190.22,106897.66,4342.39,1852,579.63,5.91,39843.19,29943.98
