ticker,date,open,high,low,close,volume
AAPL,2021-01-01,102.35,102.9,100.11,101.59,125557207
AAPL,2021-01-08,101.81,109.68,99.55,108.58,156845663
AAPL,2021-01-15,108.42,117.76,105.07,115.92,173720185
AAPL,2021-01-22,115.98,119.36,112.3,114.96,122452126
AAPL,2021-02-01,114.8,122.09,110.94,119.2,97801553
AAPL,2021-02-08,119.29,119.56,114.06,118.53,87032871
AAPL,2021-02-15,119.0,129.09,116.85,124.17,38899677
AAPL,2021-02-22,123.58,128.02,113.55,118.21,172291698
AAPL,2021-03-01,118.33,124.42,114.44,121.68,72694921
AAPL,2021-03-08,123.73,136.47,123.01,133.62,89026923
AAPL,2021-03-15,134.42,146.79,130.09,143.81,37737612
AAPL,2021-03-22,145.56,155.87,144.72,150.31,1789469
AAPL,2021-04-01,152.18,152.63,143.2,146.39,86956983
AAPL,2021-04-08,149.23,156.29,144.59,152.35,140954321
AAPL,2021-04-15,152.56,154.77,141.6,143.86,46954359
AAPL,2021-04-22,143.56,155.25,139.7,149.54,145156674
AAPL,2021-05-01,148.92,153.87,141.16,143.75,122872365
AAPL,2021-05-08,141.71,147.36,128.93,133.92,22113324
AAPL,2021-05-15,133.76,145.89,132.76,142.12,108782890
AAPL,2021-05-22,139.82,156.19,136.74,150.45,16913758
AAPL,2021-06-01,149.4,155.94,148.9,153.18,101506475
AAPL,2021-06-08,153.85,163.21,152.22,158.57,52591626
AAPL,2021-06-15,159.8,161.52,155.3,159.86,69106905
AAPL,2021-06-22,162.82,170.21,159.08,169.5,128439156
AAPL,2021-07-01,166.58,171.75,161.27,161.57,38542462
AAPL,2021-07-08,159.44,170.24,157.77,169.32,18550802
AAPL,2021-07-15,170.46,176.26,166.18,171.89,60276221
AAPL,2021-07-22,172.36,191.09,170.56,186.11,75437320
AAPL,2021-08-01,182.5,200.33,178.49,194.73,66108341
AAPL,2021-08-08,194.24,195.84,185.27,191.29,103404219
AAPL,2021-08-15,194.15,205.04,192.8,203.73,159677661
AAPL,2021-08-22,205.7,230.56,197.7,221.88,60351385
AAPL,2021-09-01,225.15,234.53,223.77,230.27,103903216
AAPL,2021-09-08,227.61,236.06,221.67,227.43,47314259
AAPL,2021-09-15,230.87,231.34,219.98,221.8,60229122
AAPL,2021-09-22,217.85,231.38,211.24,224.38,110580123
AAPL,2021-10-01,227.12,236.06,207.44,214.17,52976821
AAPL,2021-10-08,210.45,216.16,194.35,199.93,67317018
AAPL,2021-10-15,197.21,201.94,194.39,196.13,24910127
AAPL,2021-10-22,194.23,205.35,191.91,197.47,175984852
AAPL,2021-11-01,200.87,217.25,200.03,214.1,90853817
AAPL,2021-11-08,216.44,222.4,203.47,208.23,118448243
AAPL,2021-11-15,204.24,210.75,189.29,196.3,123177651
AAPL,2021-11-22,194.14,203.08,188.78,201.83,59596118
AAPL,2021-12-01,205.28,212.08,204.94,205.91,4835821
AAPL,2021-12-08,202.65,218.38,199.35,215.57,78776034
AAPL,2021-12-15,216.46,237.75,213.47,231.18,61394726
AAPL,2021-12-22,234.82,240.19,220.32,228.01,51249287
AAPL,2022-01-01,230.87,243.58,230.29,239.39,165142428
AAPL,2022-01-08,236.27,241.37,217.92,222.53,175554379
AAPL,2022-01-15,223.53,240.78,220.69,234.72,161761815
AAPL,2022-01-22,230.61,253.41,224.31,244.83,15864512
AAPL,2022-02-01,249.03,258.41,241.79,247.59,18741071
AAPL,2022-02-08,251.35,262.36,245.62,259.23,11090299
AAPL,2022-02-15,262.33,266.52,256.33,260.61,39352008
AAPL,2022-02-22,264.89,273.85,248.25,253.16,111257116
AAPL,2022-03-01,250.24,260.82,240.41,252.22,145304003
AAPL,2022-03-08,254.41,263.87,249.37,258.6,91350872
AAPL,2022-03-15,260.06,284.22,255.85,278.0,160271820
AAPL,2022-03-22,280.31,302.02,277.75,290.55,80911715
AAPL,2022-04-01,286.2,301.42,274.8,294.94,137505978
AAPL,2022-04-08,299.46,308.82,288.4,307.21,162930812
AAPL,2022-04-15,311.92,326.09,309.19,315.27,134288364
AAPL,2022-04-22,318.7,335.05,315.34,325.3,81412120
AAPL,2022-05-01,327.06,327.76,308.22,313.56,135395836
AAPL,2022-05-08,313.01,324.47,285.6,295.24,46631870
AAPL,2022-05-15,293.08,297.81,281.43,291.74,167274349
AAPL,2022-05-22,295.82,324.04,289.3,315.39,2514742
AAPL,2022-06-01,317.28,329.09,304.75,314.87,107138337
AAPL,2022-06-08,318.82,330.23,297.21,304.98,170353683
AAPL,2022-06-15,308.95,335.33,308.61,330.71,6670080
AAPL,2022-06-22,331.56,339.94,315.82,316.18,168105412
AAPL,2022-07-01,316.91,340.0,311.71,333.56,112830666
AAPL,2022-07-08,328.25,340.14,310.51,315.14,35372144
AAPL,2022-07-15,313.39,335.29,303.76,331.79,89981085
AAPL,2022-07-22,326.19,356.49,316.57,344.81,63574343
AAPL,2022-08-01,341.5,352.47,334.99,348.7,76488006
AAPL,2022-08-08,346.26,354.55,324.29,332.72,156497508
AAPL,2022-08-15,334.24,359.61,324.08,347.32,115547665
AAPL,2022-08-22,341.61,376.56,335.63,368.54,100983754
AAPL,2022-09-01,374.62,376.6,365.88,372.0,55183285
AAPL,2022-09-08,372.9,381.33,351.54,360.17,69773595
AAPL,2022-09-15,366.79,386.77,354.57,379.24,164695047
AAPL,2022-09-22,382.18,396.18,373.23,375.46,61314249
AAPL,2022-10-01,373.3,395.28,370.92,387.05,135294320
AAPL,2022-10-08,389.93,392.76,363.66,367.1,84255274
AAPL,2022-10-15,369.48,380.16,347.68,357.27,41324904
AAPL,2022-10-22,350.69,359.98,335.97,346.81,154881983
AAPL,2022-11-01,351.63,376.97,347.31,367.66,111752640
AAPL,2022-11-08,368.35,384.17,360.18,375.85,85308703
AAPL,2022-11-15,374.0,383.96,355.25,363.94,119567250
AAPL,2022-11-22,364.01,392.42,363.12,387.07,117398836
AAPL,2022-12-01,380.37,382.5,358.82,361.31,33010650
